Time,Gx,Gy,Gz,Ax,Ay,Az
1532053083,-0.844314575,0.063644409,-0.603164673,-2.088958259,-0.43365051,0.68705588
1532053083,-1.332824707,0.095184326,-0.262588501,0.008838765,-0.946820347,1.442452469
1532053083,-1.162078857,0.201141357,-0.160629272,-0.078815187,-0.053781739,-1.446044807
1532053083,-0.91784668,0.317306519,-0.124679565,0.558280324,-0.021045098,-1.903161228
1532053083,-0.626373291,0.324813843,-0.181518555,-0.425449838,-0.409259683,-0.855239829
1532053084,-1.101425171,0.492431641,-0.209762573,-0.756320173,0.011702729,2.225790677
1532053084,-1.245941162,0.284729004,-0.030090332,-0.255854147,0.502950222,1.446133224
1532053084,-0.854171753,0.250045776,-0.099853516,-0.676403502,0.203630357,0.539506902
1532053084,-1.24017334,0.274642944,-0.063735962,1.329162395,-0.641230335,-0.337669918
1532053084,-1.133712769,0.365829468,-0.1277771,1.027029965,-1.18201582,-1.687497644
1532053085,-0.941421509,0.374664307,-0.104827881,-0.785070595,0.231543747,-2.317872135
1532053085,-0.642990112,0.379486084,-0.052429199,-0.098293281,-0.521973715,-0.060219931
1532053085,-1.044677734,0.426559448,-0.227005005,-0.376307858,0.31920489,3.542143533
1532053085,-1.096343994,0.199569702,-0.003112793,-1.117756673,1.653134343,0.516717434
1532053085,-1.02784729,0.162597656,-0.020523071,-0.189379249,0.532179747,1.153346891
1532053086,-1.275588989,0.50428772,-0.231948853,0.346626129,-0.560550136,-1.036326261
1532053086,-1.210128784,0.601638794,-0.114013672,0.105965049,-1.013267547,-2.629080085
1532053086,-0.627487183,0.391601563,-0.041168213,-0.393337441,0.002816559,-1.793955378
1532053086,-0.832565308,0.519195557,-0.059921265,-0.560608193,-0.194824881,1.823938843
1532053086,-1.378051758,0.586410522,-0.224838257,-1.677296139,0.701227626,2.576853099
1532053087,-0.829650879,0.314743042,-0.073196411,-1.701387893,1.442224236,0.498582372
1532053087,-1.263885498,0.34211731,-0.055541992,-0.767963513,1.667668279,-1.058608398
1532053087,-1.218536377,0.529281616,0.150650024,0.442274891,0.295429253,-2.117844502
1532053087,-0.84727478,0.366775513,0.14831543,-0.863475655,-0.579329949,-1.832444181
1532053087,-0.632095337,0.431274414,-0.137557983,-1.404928529,-0.438310243,0.400278704
1532053088,-1.510284424,0.352645874,-0.112625122,-0.402590062,-2.217490935,3.7161891
1532053088,-0.775665283,0.222763062,0.040649414,-3.357609373,2.643150364,-1.294502152
1532053088,-1.105133057,0.22958374,0.327148438,-0.226050711,1.046138945,1.128554992
1532053088,-0.875335693,0.754760742,-1.606704712,1.270253804,1.802696405,3.56450077
1532053088,0.305786133,0.326660156,-0.716079712,2.247011543,1.543186803,-2.076870437
1532053089,-0.340484619,0.458297729,-0.375930786,1.152976179,-5.308455032,-2.822441293
1532053089,-1.22593689,0.82144165,0.120941162,2.794691421,-2.847108556,2.640640601
1532053089,-1.544235229,0.390640259,-0.140716553,-0.144641072,0.415664052,2.964905497
1532053089,-0.974090576,0.207107544,0.015609741,0.115284249,0.276164212,0.883509018
1532053089,-1.03553772,0.457641602,-0.118423462,0.342118462,-0.421414616,-0.840890451
1532053090,-1.261871338,0.65322876,-0.227432251,0.723307095,-1.314008209,-1.607090419
1532053090,-0.848861694,0.53024292,-0.103134155,0.525462722,1.018346196,-2.874407022
1532053090,-0.271530151,0.396850586,-0.00453186,0.381431247,0.642468172,-0.749119251
1532053090,-1.528610229,0.733383179,-0.03944397,0.694281835,0.046276951,5.452322723
1532053091,-1.066009521,0.280059814,-0.31086731,1.39374991,-2.12693174,0.91998021
1532053091,-1.092132568,0.695297241,-0.407470703,0.142954493,-0.407155519,-1.295192976
1532053091,-0.847106934,0.538024902,-0.190567017,-0.103632386,1.00470655,-0.785925736
1532053091,-0.662185669,0.644577026,-0.827011108,-0.658492679,3.971872006,-1.467269402
1532053091,-0.591110229,0.359298706,-0.854049683,1.973889993,1.234507258,0.334601956
1532053092,-0.298919678,0.452026367,-0.058654785,2.845132224,-6.334116665,1.725357674
1532053092,-1.197174072,0.796127319,-0.316818237,-1.105831836,2.872078354,3.198355003
1532053092,-1.264343262,0.428833008,0.05871582,0.452760022,1.464804646,0.214871294
1532053092,-1.316833496,0.461181641,-0.028839111,0.437713428,-1.258470914,-1.840086121
1532053092,-0.967834473,0.749557495,-0.060745239,-0.071589765,-0.951432409,-3.396404972
1532053093,-0.422592163,0.404876709,-0.101699829,-0.675442101,-0.127207487,-0.913289284
1532053093,-0.98550415,0.815505981,-0.360839844,-2.124028895,0.797481991,3.541096645
1532053093,-1.225631714,0.541610718,-0.04258728,1.294090427,1.341775126,2.389800387
1532053093,-0.922668457,0.362731934,-0.364868164,-0.851432841,0.111571536,0.579267364
1532053093,-1.292861938,0.66519165,-0.113006592,-0.851432841,0.111571536,0.579267364
1532053094,-1.252349854,0.885238647,0.077270508,0.146791042,0.476491184,-1.955292872
1532053094,-0.60836792,0.392166138,0.032699585,-2.001593792,-0.157947024,-3.167244488
1532053094,-0.631164551,0.580657959,-0.287033081,0.475374521,-0.847516396,-1.947660253
1532053094,-1.614822388,0.761856079,-0.218002319,-0.740605392,-0.246542937,2.496793417
1532053094,-0.67010498,0.446289063,-0.073501587,3.229684696,0.151722152,3.683531821
1532053095,-1.363861084,0.527145386,0.050704956,-1.844800183,2.467029129,-1.448413688
1532053095,-0.994171143,0.646759033,-0.266693115,1.659054551,-1.968202812,0.719274004
1532053095,-0.810806274,0.477645874,-0.128387451,0.707338515,-1.249151715,-2.764044562
1532053095,-0.577850342,0.514816284,-0.11920166,-0.454312379,0.023062442,-2.064272087
1532053095,-1.27243042,0.782333374,-0.178161621,-0.432741573,0.146359344,0.08293563
1532053096,-0.844192505,0.333526611,0.040054321,0.981742378,-0.163334599,3.787200426
1532053096,-1.140686035,0.409500122,-0.296417236,-0.942745444,1.181192904,0.495528525
1532053096,-1.176376343,0.631652832,-0.148376465,0.430627023,-0.153479039,0.194842458
